Year,GHG_Emission
1991,31736.8
1992,31720.77
1993,31874.89
1994,32131.809999999998
1995,32896.899999999994
1996,33266.149999999994
1997,34590.200000000004
1998,34101.68
1999,34055.16
2000,34734.270000000004
2001,34835.509999999995
2002,35751.020000000004
2003,36726.96
2004,38480.38
2005,39361.27
2006,40793.37
2007,41523.079999999994
2008,41784.700000000004
2009,41811.53
2010,43536.59
2011,43690.560000000005
2012,44264.0
2013,44901.39000000001
2014,45527.560000000005
2015,45430.990000000005
2016,46020.32
2017,46662.090000000004
2018,47833.880000000005
2019,48147.50000000001
2020,46187.28
